Card Name,Card URL,Image URL,Description,Rarity Symbols
Bulbasaur,https://pocket.limitlesstcg.com/cards/A1/1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_001_EN.webp,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,#1 · ◊
Ivysaur,https://pocket.limitlesstcg.com/cards/A1/2,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_002_EN.webp,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",#2 · ◊◊
Venusaur,https://pocket.limitlesstcg.com/cards/A1/3,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_003_EN.webp,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,#3 · ◊◊◊
Venusaur ex,https://pocket.limitlesstcg.com/cards/A1/4,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_004_EN.webp,No Description,#4 · ◊◊◊◊
Caterpie,https://pocket.limitlesstcg.com/cards/A1/5,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_005_EN.webp,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",#5 · ◊
Metapod,https://pocket.limitlesstcg.com/cards/A1/6,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_006_EN.webp,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",#6 · ◊
Butterfree,https://pocket.limitlesstcg.com/cards/A1/7,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_007_EN.webp,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",#7 · ◊◊◊
Weedle,https://pocket.limitlesstcg.com/cards/A1/8,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_008_EN.webp,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",#8 · ◊
Kakuna,https://pocket.limitlesstcg.com/cards/A1/9,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_009_EN.webp,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",#9 · ◊
Beedrill,https://pocket.limitlesstcg.com/cards/A1/10,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_010_EN.webp,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,#10 · ◊◊◊
Oddish,https://pocket.limitlesstcg.com/cards/A1/11,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_011_EN.webp,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",#11 · ◊
Gloom,https://pocket.limitlesstcg.com/cards/A1/12,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_012_EN.webp,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,#12 · ◊◊
Vileplume,https://pocket.limitlesstcg.com/cards/A1/13,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_013_EN.webp,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",#13 · ◊◊◊
Paras,https://pocket.limitlesstcg.com/cards/A1/14,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_014_EN.webp,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.",#14 · ◊
Parasect,https://pocket.limitlesstcg.com/cards/A1/15,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_015_EN.webp,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",#15 · ◊◊
Venonat,https://pocket.limitlesstcg.com/cards/A1/16,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_016_EN.webp,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,#16 · ◊
Venomoth,https://pocket.limitlesstcg.com/cards/A1/17,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_017_EN.webp,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",#17 · ◊◊
Bellsprout,https://pocket.limitlesstcg.com/cards/A1/18,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_018_EN.webp,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",#18 · ◊
Weepinbell,https://pocket.limitlesstcg.com/cards/A1/19,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_019_EN.webp,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.,#19 · ◊◊
Victreebel,https://pocket.limitlesstcg.com/cards/A1/20,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_020_EN.webp,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",#20 · ◊◊◊
Exeggcute,https://pocket.limitlesstcg.com/cards/A1/21,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_021_EN.webp,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",#21 · ◊
Exeggutor,https://pocket.limitlesstcg.com/cards/A1/22,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_022_EN.webp,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,#22 · ◊◊◊
Exeggutor ex,https://pocket.limitlesstcg.com/cards/A1/23,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_023_EN.webp,No Description,#23 · ◊◊◊◊
Tangela,https://pocket.limitlesstcg.com/cards/A1/24,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_024_EN.webp,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",#24 · ◊
Scyther,https://pocket.limitlesstcg.com/cards/A1/25,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_025_EN.webp,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track.",#25 · ◊
Pinsir,https://pocket.limitlesstcg.com/cards/A1/26,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_026_EN.webp,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",#26 · ◊◊
Cottonee,https://pocket.limitlesstcg.com/cards/A1/27,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_027_EN.webp,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",#27 · ◊
Whimsicott,https://pocket.limitlesstcg.com/cards/A1/28,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_028_EN.webp,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief.",#28 · ◊◊
Petilil,https://pocket.limitlesstcg.com/cards/A1/29,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_029_EN.webp,The leaves on its head grow right back even if they fall out. These bitter leaves refresh those who eat them.,#29 · ◊
Lilligant,https://pocket.limitlesstcg.com/cards/A1/30,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_030_EN.webp,"The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult.",#30 · ◊◊
Skiddo,https://pocket.limitlesstcg.com/cards/A1/31,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_031_EN.webp,"Until recently, people living in the mountains would ride on the backs of these Pokémon to traverse the mountain paths.",#31 · ◊
Gogoat,https://pocket.limitlesstcg.com/cards/A1/32,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_032_EN.webp,"It can sense the feelings of others by touching them with its horns. This species has assisted people with their work since 5,000 years ago.",#32 · ◊
Charmander,https://pocket.limitlesstcg.com/cards/A1/33,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_033_EN.webp,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",#33 · ◊
Charmeleon,https://pocket.limitlesstcg.com/cards/A1/34,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_034_EN.webp,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",#34 · ◊◊
Charizard,https://pocket.limitlesstcg.com/cards/A1/35,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_035_EN.webp,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,#35 · ◊◊◊
Charizard ex,https://pocket.limitlesstcg.com/cards/A1/36,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_036_EN.webp,No Description,#36 · ◊◊◊◊
Vulpix,https://pocket.limitlesstcg.com/cards/A1/37,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_037_EN.webp,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",#37 · ◊
Ninetales,https://pocket.limitlesstcg.com/cards/A1/38,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_038_EN.webp,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",#38 · ◊◊
Growlithe,https://pocket.limitlesstcg.com/cards/A1/39,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_039_EN.webp,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,#39 · ◊
Arcanine,https://pocket.limitlesstcg.com/cards/A1/40,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_040_EN.webp,An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.,#40 · ◊◊◊
Arcanine ex,https://pocket.limitlesstcg.com/cards/A1/41,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_041_EN.webp,No Description,#41 · ◊◊◊◊
Ponyta,https://pocket.limitlesstcg.com/cards/A1/42,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_042_EN.webp,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",#42 · ◊
Rapidash,https://pocket.limitlesstcg.com/cards/A1/43,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_043_EN.webp,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",#43 · ◊◊
Magmar,https://pocket.limitlesstcg.com/cards/A1/44,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_044_EN.webp,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,#44 · ◊
Flareon,https://pocket.limitlesstcg.com/cards/A1/45,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_045_EN.webp,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees Fahrenheit.",#45 · ◊◊◊
Moltres,https://pocket.limitlesstcg.com/cards/A1/46,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_046_EN.webp,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",#46 · ◊◊◊
Moltres ex,https://pocket.limitlesstcg.com/cards/A1/47,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_047_EN.webp,No Description,#47 · ◊◊◊◊
Heatmor,https://pocket.limitlesstcg.com/cards/A1/48,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_048_EN.webp,"There’s a hole in its tail that allows it to draw in the air it needs to keep its fire burning. If the hole gets blocked, this Pokémon will fall ill.",#48 · ◊
